"","Title","Release.Date","Worldwide.Box.Office","Rotten.Tomatoes","Metacritic","Distributor","Original.Game.Publisher"
"1","Super Mario Bros.","5/28/1993",38912465,24,35,"Buena Vista Pictures Distribution","Nintendo"
"3","Street Fighter","12/23/1994",99423521,13,34,"Universal Pictures","Capcom"
"4","Mortal Kombat","8/18/1995",124741822,44,60,"New Line Cinema","Midway"
"5","Mortal Kombat: Annihilation","11/21/1997",51376861,2,11,"New Line Cinema","Midway"
"6","Wing Commander","3/12/1999",11578059,10,21,"20th Century Fox","Origin Systems"
"7","Lara Croft: Tomb Raider","6/15/2001",274703340,20,33,"Paramount Pictures","Eidos"
"8","Resident Evil","3/15/2002",102984862,36,33,"Sony Pictures Releasing","Capcom"
"9","Lara Croft: Tomb Raider ? The Cradle of Life","7/25/2003",156505388,24,43,"Paramount Pictures","Eidos"
"10","House of the Dead","10/10/2003",13818181,3,15,"Artisan Entertainment","Sega Sammy"
"11","Resident Evil: Apocalypse","9/10/2004",129342769,19,35,"Sony Pictures Releasing","Capcom"
"12","Alone in the Dark","1/28/2005",10442808,1,9,"Lionsgate Films","Infogrames"
"13","Doom","10/21/2005",55987321,18,34,"Universal Pictures","id Software"
"14","BloodRayne","1/6/2006",3650275,4,18,"Boll KG Productions","Majesco Entertainment"
"15","Silent Hill","4/21/2006",97607453,32,31,"Sony Pictures Releasing","Konami"
"16","DOA: Dead or Alive","9/7/2006",7516532,33,38,"Metro-Goldwyn-Mayer / Dimension Films","Tecmo"
"17","Resident Evil: Extinction","9/21/2007",148412065,25,41,"Sony Pictures Releasing","Capcom"
"18","Postal","10/18/2007",146741,9,22,"Vivendi Entertainment","Ripcord Games"
"19","Hitman","11/21/2007",101276318,16,35,"20th Century Fox","Eidos"
"20","In the Name of the King: A Dungeon Siege Tale","1/11/2008",13097915,4,15,"20th Century Fox","Microsoft Studios"
"22","Max Payne","10/17/2008",85416905,16,31,"20th Century Fox","Rockstar Games"
"23","Street Fighter: The Legend of Chun-Li","2/27/2009",12764201,5,17,"20th Century Fox","Capcom"
"25","Prince of Persia: The Sands of Time","5/28/2010",336365676,37,50,"Walt Disney Studios Motion Pictures","Ubisoft"
"26","Resident Evil: Afterlife","9/10/2010",300228084,22,37,"Sony Pictures Releasing","Capcom"
"27","Resident Evil: Retribution","9/14/2012",240004424,28,39,"Sony Pictures Releasing","Capcom"
"28","Silent Hill: Revelation","10/26/2012",52302796,10,16,"Open Road Films","Konami"
"29","Need for Speed","3/14/2014",203277636,23,39,"Walt Disney Studios Motion Pictures","Electronic Arts"
"30","Hitman: Agent 47","8/21/2015",82347656,8,28,"20th Century Fox","Square Enix"
"31","Warcraft","6/10/2016",439048914,28,32,"Universal Pictures","Blizzard Entertainment"
"32","Assassin's Creed","12/21/2016",240558621,18,36,"20th Century Fox","Ubisoft"
"33","Resident Evil: The Final Chapter","1/27/2017",312257250,37,49,"Sony Pictures Releasing","Capcom"
"34","Tomb Raider","3/16/2018",274650803,52,48,"Warner Bros. Pictures","Square Enix"
"35","Rampage","4/13/2018",428028233,51,45,"Warner Bros. Pictures","WB Games"
"37","Detective Pikachu","5/10/2019",433005346,68,53,"Warner Bros. Pictures","NintendoThe Pok‚mon Company"
"38","Sonic the Hedgehog","2/14/2020",320954026,63,47,"Paramount Pictures","Sega Sammy"
"39","Monster Hunter","12/18/2020",42145959,46,47,"Sony Pictures Releasing","Capcom"
"40","Mortal Kombat","4/23/2021",83601013,55,44,"Warner Bros. Pictures","WB Games"
"41","Werewolves Within","6/25/2021",937490,85,66,"IFC Films","Ubisoft"
"42","Resident Evil: Welcome to Raccoon City","11/24/2021",31837037,29,44,"Sony Pictures Releasing","Capcom"
