Title,Release Date,Worldwide Box Office,Rotten Tomatoes,Metacritic,Distributor,Original Game Publisher
Super Mario Bros.,1993-05-28 00:00:00 UTC,38912465,24,35,Buena Vista Pictures Distribution,Nintendo
Street Fighter,1994-12-23 00:00:00 UTC,99423521,13,34,Universal Pictures,Capcom
Mortal Kombat,1995-08-18 00:00:00 UTC,124741822,44,60,New Line Cinema,Midway
Mortal Kombat: Annihilation,1997-11-21 00:00:00 UTC,51376861,2,11,New Line Cinema,Midway
Wing Commander,1999-03-12 00:00:00 UTC,11578059,10,21,20th Century Fox,Origin Systems
Lara Croft: Tomb Raider,2001-06-15 00:00:00 UTC,274703340,20,33,Paramount Pictures,Eidos
Resident Evil,2002-03-15 00:00:00 UTC,102984862,36,33,Sony Pictures Releasing,Capcom
Lara Croft: Tomb Raider ? The Cradle of Life,2003-07-25 00:00:00 UTC,156505388,24,43,Paramount Pictures,Eidos
House of the Dead,2003-10-10 00:00:00 UTC,13818181,3,15,Artisan Entertainment,Sega Sammy
Resident Evil: Apocalypse,2004-09-10 00:00:00 UTC,129342769,19,35,Sony Pictures Releasing,Capcom
Alone in the Dark,2005-01-28 00:00:00 UTC,10442808,1,9,Lionsgate Films,Infogrames
Doom,2005-10-21 00:00:00 UTC,55987321,18,34,Universal Pictures,id Software
BloodRayne,2006-01-06 00:00:00 UTC,3650275,4,18,Boll KG Productions,Majesco Entertainment
Silent Hill,2006-04-21 00:00:00 UTC,97607453,32,31,Sony Pictures Releasing,Konami
DOA: Dead or Alive,2006-09-07 00:00:00 UTC,7516532,33,38,Metro-Goldwyn-Mayer / Dimension Films,Tecmo
Resident Evil: Extinction,2007-09-21 00:00:00 UTC,148412065,25,41,Sony Pictures Releasing,Capcom
Postal,2007-10-18 00:00:00 UTC,146741,9,22,Vivendi Entertainment,Ripcord Games
Hitman,2007-11-21 00:00:00 UTC,101276318,16,35,20th Century Fox,Eidos
In the Name of the King: A Dungeon Siege Tale,2008-01-11 00:00:00 UTC,13097915,4,15,20th Century Fox,Microsoft Studios
Max Payne,2008-10-17 00:00:00 UTC,85416905,16,31,20th Century Fox,Rockstar Games
Street Fighter: The Legend of Chun-Li,2009-02-27 00:00:00 UTC,12764201,5,17,20th Century Fox,Capcom
Prince of Persia: The Sands of Time,2010-05-28 00:00:00 UTC,336365676,37,50,Walt Disney Studios Motion Pictures,Ubisoft
Resident Evil: Afterlife,2010-09-10 00:00:00 UTC,300228084,22,37,Sony Pictures Releasing,Capcom
Resident Evil: Retribution,2012-09-14 00:00:00 UTC,240004424,28,39,Sony Pictures Releasing,Capcom
Silent Hill: Revelation,2012-10-26 00:00:00 UTC,52302796,10,16,Open Road Films,Konami
Need for Speed,2014-03-14 00:00:00 UTC,203277636,23,39,Walt Disney Studios Motion Pictures,Electronic Arts
Hitman: Agent 47,2015-08-21 00:00:00 UTC,82347656,8,28,20th Century Fox,Square Enix
Warcraft,2016-06-10 00:00:00 UTC,439048914,28,32,Universal Pictures,Blizzard Entertainment
Assassin's Creed,2016-12-21 00:00:00 UTC,240558621,18,36,20th Century Fox,Ubisoft
Resident Evil: The Final Chapter,2017-01-27 00:00:00 UTC,312257250,37,49,Sony Pictures Releasing,Capcom
Tomb Raider,2018-03-16 00:00:00 UTC,274650803,52,48,Warner Bros. Pictures,Square Enix
Rampage,2018-04-13 00:00:00 UTC,428028233,51,45,Warner Bros. Pictures,WB Games
Detective Pikachu,2019-05-10 00:00:00 UTC,433005346,68,53,Warner Bros. Pictures,NintendoThe Pok‚mon Company
Sonic the Hedgehog,2020-02-14 00:00:00 UTC,320954026,63,47,Paramount Pictures,Sega Sammy
Monster Hunter,2020-12-18 00:00:00 UTC,42145959,46,47,Sony Pictures Releasing,Capcom
Mortal Kombat,2021-04-23 00:00:00 UTC,83601013,55,44,Warner Bros. Pictures,WB Games
Werewolves Within,2021-06-25 00:00:00 UTC,937490,85,66,IFC Films,Ubisoft
Resident Evil: Welcome to Raccoon City,2021-11-24 00:00:00 UTC,31837037,29,44,Sony Pictures Releasing,Capcom
